event_key,event_name,event_type,event_location,event_location_size,event_begin_date,event_end_date,city
82,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,12/3/2015,12/3/2015,Vancouver
83,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,12/5/2015,12/5/2015,Vancouver
84,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,12/7/2015,12/7/2015,Vancouver
85,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,12/9/2015,12/9/2015,Vancouver
86,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,12/13/2015,12/13/2015,Vancouver
87,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,12/15/2015,12/15/2015,Vancouver
88,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,12/17/2015,12/17/2015,Vancouver
89,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,12/18/2015,12/18/2015,Vancouver
90,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,12/20/2015,12/20/2015,Vancouver
91,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,12/22/2015,12/22/2015,Vancouver
92,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,12/26/2015,12/26/2015,Vancouver
93,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,12/28/2015,12/28/2015,Vancouver
94,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,1/1/2016,1/1/2016,Vancouver
95,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,1/4/2016,1/4/2016,Vancouver
96,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,1/6/2016,1/6/2016,Vancouver
97,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,1/9/2016,1/9/2016,Vancouver
98,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,1/11/2016,1/11/2016,Vancouver
99,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,1/14/2016,1/14/2016,Vancouver
